,Date,month,Open,High,Low,Close,Volume,Market Cap,Mean,normalize,Diff,Class
124,6-Jul-17,Jul,2608.1,2616.72,2581.69,2608.56,"761,957,000","42,851,400,000",2608.33,1.603587738,0.04018075,TRUE
125,5-Jul-17,Jul,2602.87,2622.65,2538.55,2601.99,"941,566,000","42,760,800,000",2602.43,1.598284831,-0.005302906,TRUE
126,4-Jul-17,Jul,2561,2631.59,2559.35,2601.64,"985,516,000","42,067,900,000",2581.32,1.579311213,-0.018973619,TRUE
127,3-Jul-17,Jul,2498.56,2595,2480.47,2564.06,"964,112,000","41,037,200,000",2531.31,1.534362341,-0.044948871,TRUE
128,2-Jul-17,Jul,2436.4,2514.28,2394.84,2506.47,"803,747,000","40,010,500,000",2471.435,1.480546831,-0.05381551,TRUE
129,1-Jul-17,Jul,2492.6,2515.27,2419.23,2434.55,"779,914,000","40,928,200,000",2463.575,1.473482281,-0.00706455,FALSE
130,30-Jun-17,Jun,2539.24,2559.25,2478.43,2480.84,"860,273,000","41,689,100,000",2510.04,1.515244915,0.041762634,FALSE
131,29-Jun-17,Jun,2567.56,2588.83,2510.48,2539.32,"949,979,000","42,150,300,000",2553.44,1.554252734,0.039007819,FALSE
132,28-Jun-17,Jun,2553.03,2603.98,2484.42,2574.79,"1,183,870,000","41,906,700,000",2563.91,1.563663145,0.009410412,TRUE
133,27-Jun-17,Jun,2478.45,2552.45,2332.99,2552.45,"1,489,790,000","40,677,900,000",2515.45,1.52010741,-0.043555735,TRUE
134,26-Jun-17,Jun,2590.57,2615.25,2376.29,2478.45,"1,663,280,000","42,514,000,000",2534.51,1.537238494,0.017131084,FALSE
135,25-Jun-17,Jun,2607.25,2682.26,2552.12,2589.41,"1,161,100,000","42,783,800,000",2598.33,1.594599761,0.057361267,FALSE
136,24-Jun-17,Jun,2738.52,2757.94,2583.19,2608.72,"982,750,000","44,932,900,000",2673.62,1.662270237,0.067670476,FALSE
137,23-Jun-17,Jun,2707.34,2765.17,2706.37,2744.91,"961,319,000","44,415,900,000",2726.125,1.709461609,0.047191371,TRUE
138,22-Jun-17,Jun,2691.03,2723.74,2642.36,2705.41,"1,097,940,000","44,143,700,000",2698.22,1.68438066,-0.025080949,TRUE
139,21-Jun-17,Jun,2709.43,2772.01,2660.4,2689.1,"1,626,580,000","44,440,800,000",2699.265,1.685319903,0.000939244,FALSE
140,20-Jun-17,Jun,2591.26,2763.45,2589.82,2721.79,"1,854,190,000","42,498,000,000",2656.525,1.646905291,-0.038414612,TRUE
141,19-Jun-17,Jun,2549.03,2662.85,2549.03,2589.6,"1,446,840,000","41,800,600,000",2569.315,1.568521147,-0.078384144,TRUE
142,18-Jun-17,Jun,2655.35,2662.1,2516.33,2548.29,"1,178,660,000","43,539,300,000",2601.82,1.597736565,0.029215418,FALSE
